time_s,pos_x_m,pos_y_m,pos_z_m,pitch_rad,cg_body_x_m,cg_body_y_m,cg_body_z_m,nozzle_angle_rad,thrust_normalized
4.2585,25.54049,0,169.0804,1.307578,5.556019,0,0,0.00169335,0.9999986
4.2752,25.85704,0,170.4076,1.30739,5.556122,0,0,0.001679978,0.9999986
4.2919,26.17575,0,171.7399,1.307205,5.556226,0,0,0.001666265,0.9999986
4.3086,26.49664,0,173.0774,1.307023,5.55633,0,0,0.001652212,0.9999986
4.3253,26.81969,0,174.4202,1.306844,5.556434,0,0,0.001637819,0.9999986
4.342,27.14491,0,175.7681,1.306667,5.556537,0,0,0.001623086,0.9999987
4.3587,27.47231,0,177.1211,1.306493,5.556641,0,0,0.001608014,0.9999987
4.3754,27.80188,0,178.4794,1.306322,5.556744,0,0,0.001592604,0.9999987
4.3921,28.13362,0,179.8429,1.306154,5.556848,0,0,0.00157702,0.9999987
4.4088,28.46754,0,181.2115,1.305988,5.556951,0,0,0.001561095,0.9999988
4.4255,28.80364,0,182.5854,1.305825,5.557055,0,0,0.001544826,0.9999988
4.4422,29.14191,0,183.9644,1.305664,5.557158,0,0,0.001528213,0.9999988
4.4589,29.48237,0,185.3487,1.305506,5.557261,0,0,0.001511256,0.9999989
4.4756,29.825,0,186.7381,1.30535,5.557364,0,0,0.001493956,0.9999989
4.4923,30.16982,0,188.1327,1.305197,5.557467,0,0,0.001476314,0.9999989
4.509,30.51682,0,189.5325,1.305046,5.55757,0,0,0.00145833,0.9999989
4.5257,30.866,0,190.9375,1.304898,5.557673,0,0,0.001440005,0.999999
4.5424,31.21737,0,192.3477,1.304752,5.557776,0,0,0.001421339,0.999999
4.5591,31.57092,0,193.7631,1.304608,5.557879,0,0,0.001402332,0.999999
4.5758,31.92666,0,195.1837,1.304466,5.557982,0,0,0.001382986,0.999999
4.5925,32.2846,0,196.6095,1.304326,5.558085,0,0,0.001363301,0.999999
4.6092,32.64471,0,198.0405,1.304189,5.558188,0,0,0.001343278,0.9999991
4.6259,33.00702,0,199.4766,1.304054,5.55829,0,0,0.001322917,0.9999991
4.6426,33.37152,0,200.918,1.303921,5.558393,0,0,0.001302219,0.9999992
4.6593,33.73821,0,202.3645,1.30379,5.558496,0,0,0.001281185,0.9999992
4.676,34.1071,0,203.8163,1.303661,5.558598,0,0,0.001259815,0.9999992
4.6927,34.47818,0,205.2733,1.303534,5.558701,0,0,0.00123811,0.9999992
4.7094,34.85145,0,206.7354,1.303409,5.558804,0,0,0.001216071,0.9999993
4.7261,35.22692,0,208.2028,1.303286,5.558906,0,0,0.001193698,0.9999993
4.7428,35.60459,0,209.6753,1.303165,5.559008,0,0,0.001170993,0.9999993
4.7595,35.98445,0,211.1531,1.303046,5.559111,0,0,0.001147955,0.9999993
4.7762,36.36651,0,212.636,1.302928,5.559213,0,0,0.001124586,0.9999993
4.7929,36.75077,0,214.1242,1.302813,5.559315,0,0,0.001100887,0.9999994
4.8096,37.13723,0,215.6175,1.302699,5.559417,0,0,0.001076857,0.9999994
4.8263,37.52588,0,217.1161,1.302587,5.559519,0,0,0.001052499,0.9999995
4.843,37.91674,0,218.6198,1.302477,5.559622,0,0,0.001027812,0.9999995
4.8597,38.3098,0,220.1288,1.302369,5.559723,0,0,0.001002798,0.9999995
4.8764,38.70506,0,221.643,1.302262,5.559825,0,0,0.0009774572,0.9999995
4.8931,39.10253,0,223.1623,1.302157,5.559927,0,0,0.0009517907,0.9999995
4.9098,39.50219,0,224.6869,1.302054,5.56003,0,0,0.0009257991,0.9999996
4.9265,39.90406,0,226.2167,1.301952,5.560131,0,0,0.0008994834,0.9999996
4.9432,40.30814,0,227.7517,1.301852,5.560233,0,0,0.0008728444,0.9999996
4.9599,40.71442,0,229.2919,1.301753,5.560335,0,0,0.0008458831,0.9999996
4.9766,41.12291,0,230.8372,1.301656,5.560436,0,0,0.0008186001,0.9999996
4.9933,41.5336,0,232.3878,1.301561,5.560538,0,0,0.0007909964,0.9999997
5.01,41.9465,0,233.9436,1.301467,5.56064,0,0,0.000763073,0.9999997
5.0267,42.3616,0,235.5047,1.301374,5.560741,0,0,0.0007348306,0.9999997
5.0434,42.77891,0,237.0709,1.301283,5.560843,0,0,0.0007062703,0.9999998
5.0601,43.19843,0,238.6423,1.301193,5.560944,0,0,0.0006773929,0.9999998
5.0768,43.62016,0,240.219,1.301105,5.561046,0,0,0.0006481993,0.9999998
5.0935,44.0441,0,241.8008,1.301018,5.561147,0,0,0.0006186905,0.9999998
5.1102,44.47024,0,243.3879,1.300933,5.561248,0,0,0.0005888673,0.9999998
5.1269,44.8986,0,244.9801,1.300849,5.561349,0,0,0.0005587308,0.9999998
5.1436,45.32916,0,246.5776,1.300766,5.56145,0,0,0.0005282819,0.9999999
5.1603,45.76194,0,248.1803,1.300684,5.561552,0,0,0.0004975215,0.9999999
5.177,46.19692,0,249.7882,1.300604,5.561653,0,0,0.0004664506,0.9999999
5.1937,46.63412,0,251.4014,1.300525,5.561754,0,0,0.0004350702,0.9999999
5.2104,47.07352,0,253.0197,1.300448,5.561855,0,0,0.0004033813,0.9999999
