time_s,pos_x_m,pos_y_m,pos_z_m,pitch_rad,alpha_rad,cg_body_x_m,cg_body_y_m,cg_body_z_m,nozzle_angle_rad,thrust_normalized,thrust_N,cp_from_nose_m,Fg_x_N,Fg_z_N,F_aero_x_N,F_aero_z_N,NormalForceAero_N,AxialForceAero_N,Drag_N,Lift_N
44.55,31.5653385263179,0,4056.32819967358,1.57057310283557,0.00437914871298793,3.919851,0,0,-0.00142701982961527,0.918475051362218,25349.9114175972,1.3055092,-14050.2815340345,3.1363595257115,-946.58446538812,32.856342896205,32.856342896205,-946.58446538812,946.58446538812,32.856342896205
44.5666666666667,31.5817689208806,0,4059.89911700959,1.57057322126424,0.00437679563789163,3.919832,0,0,-0.00142727235519326,0.918513889814084,25350.9833588687,1.3055092,-14048.6307621038,3.13432727316106,-947.291958632652,32.8632321849035,32.8632321849035,-947.291958632652,947.291958632652,32.8632321849035
44.5833333333333,31.5981997275496,0,4063.47204243929,1.57057333942938,0.00437444407758647,3.919813,0,0,-0.00142752420907669,0.918552735440259,25352.0554981511,1.3055092,-14046.9807831721,3.13229929025821,-947.999479993636,32.8701074397732,32.8701074397732,-947.999479993636,947.999479993636,32.8701074397732
44.6,31.6146309456275,0,4067.04697658713,1.57057345736901,0.00437209406853692,3.919794,0,0,-0.00142777553245815,0.918591588227032,25353.1278350661,1.3055092,-14045.3303999991,3.13027477440734,-948.707028777777,32.8769689349037,32.8769689349037,-948.707028777777,948.707028777777,32.8769689349037
44.6166666666667,31.6310625744228,0,4070.62392010189,1.57057357504328,0.00436974556936251,3.919775,0,0,-0.00142802608289974,0.918630448160771,25354.2003692373,1.3055092,-14043.6800116652,3.12825437345754,-949.414604342998,32.883816360905,32.883816360905,-949.414604342998,949.414604342998,32.883816360905
44.6333333333333,31.6474946132359,0,4074.20287358423,1.57057369248652,0.0043673986128491,3.919756,0,0,-0.00142827607993992,0.918669315227663,25355.2731002835,1.3055092,-14042.0296181709,3.12623760389912,-950.122206049147,32.8906499667501,32.8906499667501,-950.122206049147,950.122206049147,32.8906499667501
44.65,31.663927061373,0,4077.78383765917,1.57057380967899,0.00436505317768085,3.919737,0,0,-0.00142852537579477,0.918708189413974,25356.3460278257,1.3055092,-14040.3792195167,3.12422474169713,-950.829833255759,32.8974695941296,32.8974695941296,-950.829833255759,950.829833255759,32.8974695941296
44.6666666666667,31.6803599181469,0,4081.36681297604,1.57057392664555,0.00436270928696399,3.919718,0,0,-0.00142877408915271,0.918747070706043,25357.4191514868,1.3055092,-14038.7288157028,3.12221543670459,-951.537485386331,32.9042754212399,32.9042754212399,-951.537485386331,951.537485386331,32.9042754212399
44.6833333333333,31.6967931828614,0,4084.95180013604,1.57057404336586,0.0043603669191052,3.919699,0,0,-0.00142902210589934,0.918785959090032,25358.4924708849,1.3055092,-14037.0788058068,3.12021006205314,-952.245161674265,32.9110672835201,32.9110672835201,-952.245161674265,952.245161674265,32.9110672835201
44.7,31.7132268548268,0,4088.53879976468,1.5705741598507,0.0043580260830823,3.91968,0,0,-0.00142926949657741,0.918824854552178,25359.5659856401,1.3055092,-14035.4279925976,3.1182081989018,-952.952861593887,32.9178452549052,32.9178452549052,-952.952861593887,952.952861593887,32.9178452549052
44.7166666666667,31.7296609333594,0,4092.12781251186,1.57057427611065,0.00435568678794676,3.919662,0,0,-0.00142951626899889,0.918863757078796,25360.6396953748,1.3055092,-14033.7775733071,3.11620996397467,-953.660584450193,32.9246094039684,32.9246094039684,-953.660584450193,953.660584450193,32.9246094039684
